"","CO_CATEGAD","QE_I15","percentual_aluno","percentual_grad"
"1",1,"Com cota",0.277329420396185,0.155050134507214
"2",1,"Sem cota",0.722670579603815,0.531181217901687
"3",2,"Com cota",0.36794425087108,0.202787456445993
"4",2,"Sem cota",0.63205574912892,0.4
"5",4,"Com cota",0.182274247491639,0.122073578595318
"6",4,"Sem cota",0.817725752508361,0.676421404682274
"7",5,"Com cota",0.136690647482014,0.0935251798561151
"8",5,"Sem cota",0.863309352517986,0.719424460431655
