"","name","price_dollar","date","var_perc"
"1","Brazil",1.64383561643836,"2001-04-01",-0.255398188994651
"2","Canada",2.13461538461538,"2001-04-01",10.1012145748988
"3","China",1.19565217391304,"2001-04-01",0
"4","Czech Republic",1.43589743589744,"2001-04-01",3.26207420193075
"5","Denmark",2.92553191489362,"2001-04-01",-4.96453900709222
"6","New Zealand",1.45748987854251,"2001-04-01",-13.8366277685163
"7","Russia",1.21107266435986,"2001-04-01",-12.6188077613771
"8","Sweden",2.33463035019455,"2001-04-01",-14.0077821011673
"9","United States",2.54,"2001-04-01",1.19521912350599
"10","Brazil",1.53846153846154,"2002-04-01",-6.41025641025641
"11","Canada",2.12101910828025,"2002-04-01",-0.636942675159246
"12","China",1.26811594202899,"2002-04-01",6.06060606060605
"13","Czech Republic",1.65529411764706,"2002-04-01",15.2794117647059
"14","Denmark",2.95346062052506,"2002-04-01",0.954653937947499
"15","New Zealand",1.60714285714286,"2002-04-01",10.2678571428571
"16","Norway",4.08878504672897,"2002-04-01",NA
"17","Russia",1.25,"2002-04-01",3.2142857142857
"18","Sweden",2.5,"2002-04-01",7.08333333333333
"19","Turkey",3.02000755001887,"2002-04-01",NA
"20","United States",2.49,"2002-04-01",-1.96850393700787
"21","Brazil",1.48208469055375,"2003-04-01",-3.66449511400652
"22","Canada",2.20689655172414,"2003-04-01",4.04887646266958
"23","China",1.19565217391304,"2003-04-01",-5.7142857142857
"24","Czech Republic",1.95743944636678,"2003-04-01",18.2532714578369
"25","Denmark",4.0929203539823,"2003-04-01",38.5804952176634
"26","New Zealand",2.21910112359551,"2003-04-01",38.0774032459426
"27","Russia",1.31832797427653,"2003-04-01",5.46623794212218
"28","Sweden",3.59712230215827,"2003-04-01",43.8848920863309
"29","Turkey",2.34301780693533,"2003-04-01",-22.4168228678538
"30","United States",2.71,"2003-04-01",8.83534136546184
"31","Brazil",1.69811320754717,"2004-05-01",14.5759900476882
"32","Canada",2.32846715328467,"2004-05-01",5.50866788321168
"33","China",1.256038647343,"2004-05-01",5.05050505050505
"34","Czech Republic",2.12905660377359,"2004-05-01",8.76743123396961
"35","Denmark",4.46141479099678,"2004-05-01",9.00321543408361
"36","New Zealand",2.65243902439024,"2004-05-01",19.5276319851806
"37","Norway",5.18316275131039,"2004-05-01",26.7653518606199
"38","Russia",1.44827586206897,"2004-05-01",9.85702270815812
"39","Sweden",3.94218134034166,"2004-05-01",9.59264126149803
"40","Turkey",2.58001306335728,"2004-05-01",10.1149575440888
"41","United States",2.9,"2004-05-01",7.0110701107011
"42","Brazil",2.39370334307043,"2005-06-01",40.9625302030365
"43","Canada",2.62526012485993,"2005-06-01",12.7462812243921
"44","China",1.26866753661012,"2005-06-01",1.00545387626725
"45","Czech Republic",2.29901918837532,"2005-06-01",7.98299980848297
"46","Denmark",4.57565914224941,"2005-06-01",2.56072023348227
"47","New Zealand",3.17335805462455,"2005-06-01",19.6392461973392
"48","Norway",6.06286726984423,"2005-06-01",16.9723499095496
"49","Russia",1.47858689338332,"2005-06-01",2.09290454313426
"50","Sweden",4.16655466250907,"2005-06-01",5.69160327231347
"51","Turkey",2.9218407596786,"2005-06-01",13.2490684320996
"52","United States",3.06,"2005-06-01",5.51724137931035
"53","Brazil",2.74154322352421,"2006-01-01",14.5314531752961
"54","Canada",3.00751879699248,"2006-01-01",14.5607922244636
"55","China",1.30206718666683,"2006-01-01",2.63265584504161
"56","Czech Republic",2.60094389092816,"2006-01-01",13.1327613131494
"57","Denmark",4.49254480402791,"2006-01-01",-1.81644514238533
"58","New Zealand",3.07596599156701,"2006-01-01",-3.0690537084399
"59","Russia",1.60446459713987,"2006-01-01",8.51337884299167
"60","Sweden",4.27910112942336,"2006-01-01",2.7011878165667
"61","Turkey",3.06771417882529,"2006-01-01",4.99251777029555
"62","United States",3.15,"2006-01-01",2.94117647058823
"63","Brazil",2.77717509221089,"2006-05-01",1.2997011457247
"64","Canada",3.1415948949083,"2006-05-01",4.45803025570084
"65","China",1.30824819337154,"2006-05-01",0.474707201594806
"66","Czech Republic",2.67100299441826,"2006-05-01",2.69360303136331
"67","Denmark",4.76947535771065,"2006-05-01",6.16422463799253
"68","New Zealand",2.74520206537899,"2006-05-01",-10.7531724048587
"69","Norway",7.04652344198089,"2006-05-01",16.2242735715033
"70","Russia",1.77359013440488,"2006-05-01",10.5409329421475
"71","Sweden",4.53013569815569,"2006-05-01",5.86652572911161
"72","Turkey",2.72461887771651,"2006-05-01",-11.1840699983386
"73","United States",3.1,"2006-05-01",-1.58730158730158
"74","Brazil",2.99976564330912,"2007-01-01",8.01499882821653
"75","Canada",3.08975613908158,"2007-01-01",-1.65007766948973
"76","China",1.41491838493498,"2007-01-01",8.15366626179175
"77","Czech Republic",2.42312620487741,"2007-01-01",-9.28028871771568
"78","Denmark",4.82352838928916,"2007-01-01",1.13331189542937
"79","New Zealand",3.22137875010504,"2007-01-01",17.345779049613
"80","Norway",6.80071448470249,"2007-01-01",-3.48837209302326
"81","Russia",1.84672206832872,"2007-01-01",4.1233841181902
"82","Sweden",4.54464761228475,"2007-01-01",0.320341709299629
"83","Turkey",3.22752261039191,"2007-01-01",18.457764379027
"84","United States",3.22,"2007-01-01",3.87096774193549
"85","Brazil",3.60690015682175,"2007-06-01",20.2393981965499
"86","Canada",3.68313636147895,"2007-06-01",19.204759071172
"87","China",1.44647389114626,"2007-06-01",2.2301997448946
"88","Czech Republic",2.50512034285579,"2007-06-01",3.38381623760799
"89","Denmark",5.08213834404703,"2007-06-01",5.36142702781899
"90","New Zealand",3.59459248261311,"2007-06-01",11.5855278580917
"91","Norway",6.88006329658233,"2007-06-01",1.16677169815503
"92","Russia",2.0274287719435,"2007-06-01",9.78526800074078
"93","Sweden",4.85890762922118,"2007-06-01",6.91494795079252
"94","Turkey",3.6591942069178,"2007-06-01",13.3747040264258
"95","United States",3.41,"2007-06-01",5.90062111801242
"96","Brazil",4.73305566073457,"2008-06-01",31.2222533186266
"97","Canada",4.07553186189029,"2008-06-01",10.6538412347507
"98","China",1.82908984489318,"2008-06-01",26.4516322132652
"99","Czech Republic",4.55788577005715,"2008-06-01",81.9427870224088
"100","Denmark",5.95187484057478,"2008-06-01",17.1135934846504
"101","New Zealand",3.7186005919405,"2008-06-01",3.44985168491872
"102","Norway",7.87533347115167,"2008-06-01",14.4660031698217
"103","Russia",2.53942565938985,"2008-06-01",25.2535080162418
"104","Sweden",6.37492974995177,"2008-06-01",31.2008837462422
"105","Turkey",4.31775309159505,"2008-06-01",17.9973744884114
"106","United States",3.57,"2008-06-01",4.69208211143694
"107","Brazil",4.0208302037955,"2009-07-01",-15.0478994542086
"108","Canada",3.35099280699487,"2009-07-01",-17.7777791819143
"109","China",1.82943785033735,"2009-07-01",0.0190261536435054
"110","Czech Republic",3.63956906044782,"2009-07-01",-20.1478658294197
"111","Denmark",5.52693208430913,"2009-07-01",-7.13964536634327
"112","New Zealand",3.07721292429428,"2009-07-01",-17.2480924419882
"113","Norway",6.14510120213542,"2009-07-01",-21.9702730729347
"114","Russia",2.04293829411603,"2009-07-01",-19.5511675420775
"115","Sweden",4.93099764197164,"2009-07-01",-22.6501650154036
"116","Turkey",3.64504370826748,"2009-07-01",-15.5800799410479
"117","United States",3.57,"2009-07-01",0
"118","Brazil",4.75831253989439,"2010-01-01",18.3415438782451
"119","Canada",3.97376543209877,"2010-01-01",18.5847198419499
"120","China",1.83091164752754,"2010-01-01",0.0805601124912124
"121","Czech Republic",3.7144324150675,"2010-01-01",2.05692908628236
"122","Denmark",5.99385890990808,"2010-01-01",8.4482099377436
"123","New Zealand",3.61130559752368,"2010-01-01",17.3563769023842
"124","Norway",7.02302674895313,"2010-01-01",14.2865921640579
"125","Russia",2.3390249607378,"2010-01-01",14.4931771788965
"126","Sweden",5.50684119117211,"2010-01-01",11.6780333516895
"127","Turkey",3.83167746092028,"2010-01-01",5.12020616459259
"128","United States",3.58,"2010-01-01",0.280112044817934
"129","Brazil",4.9071804839573,"2010-07-01",3.12858692687327
"130","Canada",4.00057562239171,"2010-07-01",0.674679740187491
"131","China",1.9477932387965,"2010-07-01",6.3837919992917
"132","Czech Republic",3.42522635662055,"2010-07-01",-7.78600943912172
"133","Denmark",4.90225589775786,"2010-07-01",-18.2120238156716
"134","New Zealand",3.5900000004308,"2010-07-01",-0.589969375825904
"135","Norway",7.20432259355613,"2010-07-01",2.58144886932159
"136","Russia",2.33220828919383,"2010-07-01",-0.291432184709012
"137","Sweden",6.56400241403395,"2010-07-01",19.1972346062302
"138","Turkey",3.89066893349899,"2010-07-01",1.53957302461823
"139","United States",3.733333333,"2010-07-01",4.28305399441341
"140","Brazil",6.16242864556305,"2011-07-01",25.5798246204608
"141","Canada",5.00079293756938,"2011-07-01",25.0018349754304
"142","China",2.27307990690458,"2011-07-01",16.7002668265275
"143","Czech Republic",4.07240084831893,"2011-07-01",18.8943568779759
"144","Denmark",5.48240340870836,"2011-07-01",11.8342967615347
"145","New Zealand",4.41150000061761,"2011-07-01",22.8830083590036
"146","Norway",8.31170750177778,"2011-07-01",15.3711177399544
"147","Russia",2.70245923790649,"2011-07-01",15.8755523864745
"148","Sweden",7.63985351685819,"2011-07-01",16.3901692132845
"149","Turkey",3.77281829526656,"2011-07-01",-3.02905850502258
"150","United States",4.065,"2011-07-01",8.88392858115036
"151","Brazil",5.6786703601108,"2012-01-01",-7.85012392477037
"152","Canada",4.63293990890837,"2012-01-01",-7.35589402027523
"153","China",2.43844509540021,"2012-01-01",7.27493952118993
"154","Czech Republic",3.44801341494254,"2012-01-01",-15.3321703003312
"155","Denmark",5.37418854018272,"2012-01-01",-1.97385818697236
"156","New Zealand",4.04761500000405,"2012-01-01",-8.24855492604825
"157","Norway",6.78819185748108,"2012-01-01",-18.3297552755656
"158","Russia",2.54963124777694,"2012-01-01",-5.65514506142722
"159","Sweden",5.91306354379994,"2012-01-01",-22.6023963580964
"160","Turkey",3.54276819023592,"2012-01-01",-6.09756651464697
"161","United States",4.19722,"2012-01-01",3.25264452644525
"162","Brazil",4.93597434076831,"2012-07-01",-13.0786957552508
"163","Canada",5.02231595468145,"2012-07-01",8.40451319095183
"164","China",2.44971433043751,"2012-07-01",0.462148401805612
"165","Czech Republic",3.34141011022425,"2012-07-01",-3.09173114745739
"166","Denmark",4.64502249168785,"2012-07-01",-13.5679283122076
"167","New Zealand",4.00452000065995,"2012-07-01",-1.06470104849546
"168","Norway",7.05837936326852,"2012-07-01",3.98025735659889
"169","Russia",2.28901046077781,"2012-07-01",-10.22190119557
"170","Sweden",5.72868135202144,"2012-07-01",-3.11821766183839
"171","Turkey",4.51584651595599,"2012-07-01",27.4666101045487
"172","United States",4.3275,"2012-07-01",3.10395928733781
"173","Brazil",5.64376552035518,"2013-01-01",14.3394420376323
"174","Canada",5.39435636653704,"2013-01-01",7.40774605207401
"175","China",2.57218185325703,"2013-01-01",4.99925731330675
"176","Czech Republic",3.72215856617773,"2013-01-01",11.3948435957756
"177","Denmark",5.18375030693258,"2013-01-01",11.5979592393528
"178","New Zealand",4.32458000140592,"2013-01-01",7.99246852789422
"179","Norway",7.84227900275392,"2013-01-01",11.1059437179698
"180","Russia",2.42569479114661,"2013-01-01",5.9713283408221
"181","Sweden",6.38809635544636,"2013-01-01",11.5107642213724
"182","Turkey",4.7773851590106,"2013-01-01",5.79157511510866
"183","United States",4.367395833,"2013-01-01",0.921914107452342
"184","Brazil",5.28483033492612,"2013-07-01",-6.35985290555568
"185","Canada",5.26040428061831,"2013-07-01",-2.48318940790935
"186","China",2.60836960597317,"2013-07-01",1.40688935622177
"187","Czech Republic",3.49059595298967,"2013-07-01",-6.22119152290308
"188","Denmark",4.91328483260352,"2013-07-01",-5.21756370030685
"189","New Zealand",4.29907500125211,"2013-07-01",-0.589768258316966
"190","Norway",7.5064049215907,"2013-07-01",-4.28286319633954
"191","Russia",2.64125395808603,"2013-07-01",8.88649172707855
"192","Sweden",6.15687377003092,"2013-07-01",-3.61958512442124
"193","Turkey",4.34238422437355,"2013-07-01",-9.10541897206257
"194","United States",4.556666667,"2013-07-01",4.33372291492041
"195","Brazil",5.24745561879774,"2014-01-01",-0.707207493140925
"196","Canada",5.01312098452629,"2014-01-01",-4.70084204370237
"197","China",2.74321220233669,"2014-01-01",5.16961231470924
"198","Czech Republic",3.47321507804258,"2014-01-01",-0.497934312111142
"199","Denmark",5.18049950921584,"2014-01-01",5.4386156251136
"200","New Zealand",4.5718749992285,"2014-01-01",6.34555102892919
